rank;lex;num;ipm
331;слышать;112156;299.52198554693456
332;закон;111663;298.20538778244014
333;машина;111411;297.5324006898385
334;иногда;111261;297.13181313471847
335;многий;110849;296.03153264998883
336;затем;110526;295.16893411463036
337;церковь;110504;295.1101812732128
338;продолжать;110420;294.8858522423456
339;труд;110251;294.4345235969104
340;поэтому;110164;294.2021828149408
341;подобный;110117;294.0766653810032
342;5;110031;293.84699518273436
343;военный;110023;293.825630513128
344;играть;109776;293.16599633903036
345;быстро;109492;292.4075505680031
346;заметить;109442;292.2740213829631
347;вернуться;109373;292.0897511076079
348;чтоб;109358;292.0496923520959
349;начинать;109214;291.66512829918065
350;взгляд;108718;290.34051878358383
351;чувствовать;108711;290.3218246976782
352;прежде;108600;290.0253899068895
353;следовать;108263;289.1254031997198
354;господин;108159;288.84766249483664
355;точно;108010;288.4497455234174
356;красный;107953;288.29752225247177
357;ехать;107507;287.10644192191495
358;берег;107489;287.0583714153005
359;узнать;107277;286.4922076707309
360;хоть;107204;286.2972550605725
361;далеко;106850;285.3518684304893
362;вещь;106476;284.35307012639004
363;собственный;106099;283.3462600711884
364;действие;105586;281.976250632678
365;прийтись;105575;281.9468742119692
366;речь;105425;281.5462866568492
367;школа;104892;280.1228655443227
368;условие;104844;279.9946775266843
369;внимание;104180;278.2214099493531
370;назад;104139;278.1119160176203
371;подумать;103963;277.6418932862794
372;давно;103899;277.4709759294282
373;стена;103850;277.34011732808904
374;посмотреть;103656;276.82202409013377
375;бояться;103577;276.61104797777057
376;следующий;103281;275.82055520233376
377;оставить;103072;275.26240320886654
378;театр;102010;272.42624331861686
379;смысл;101792;271.8440560718425
380;цель;101729;271.67580929869206
381;состояние;101645;271.4514802678248
382;движение;101494;271.048222129004
383;огромный;101404;270.807869595932
384;спать;100704;268.93846100537195
385;10;100320;267.91295686426474
386;тело;100243;267.7073219193031
387;пять;100099;267.32275786638786
388;рабочий;99439;265.56017262385984
389;лес;99333;265.27709075157503
390;третий;99308;265.21032615905506
391;довольно;99296;265.17827915464545
392;муж;99032;264.47324505763424
393;чуть;98210;262.2780252555765
394;дух;97937;261.54895590525814
395;поставить;97909;261.4741795616357
396;хотеться;97897;261.4421325572261
397;слушать;97839;261.2872387025797
398;помощь;97045;259.16679524414445
399;пол;96919;258.8303016978436
400;связь;96306;257.1932338892531
401;наука;96168;256.8246933385427
402;сильный;95906;256.12500040893315
403;развитие;95869;256.02618881200357
